x	ch0	ch1	ch2	ch3
910	327	25003	323	25008
911	327	25003	324	25007
912	327	25003	324	25007
913	327	25003	324	25009
914	327	25004	324	25008
915	326	25003	324	25008
916	326	25003	324	25008
917	326	25004	324	25008
918	327	25003	324	25009
919	327	25004	324	25008
920	327	25004	324	25009
921	327	25003	324	25008
922	327	25004	324	25008
923	327	25003	323	25008
924	326	25003	324	25007
925	327	25004	324	25009
926	327	25003	324	25009
927	327	25004	324	25008
928	327	25004	324	25008
929	327	25003	324	25008
930	326	25003	324	25008
931	326	25004	323	25008
932	327	25003	324	25008
933	327	25004	324	25008
934	327	25003	324	25008
935	327	25003	324	25008
936	327	25003	324	25008
937	327	25003	324	25008
938	326	25004	324	25008
939	326	25003	323	25008
940	327	25004	324	25008
941	327	25003	324	25007
942	327	25003	324	25009
943	327	25004	323	25008
944	326	25003	323	25008
945	326	25003	324	25008
946	327	25003	324	25008
947	326	25003	324	25008
948	327	25004	324	25008
949	326	25003	324	25008
950	327	25003	324	25008
951	326	25003	324	25007
952	326	25003	324	25008
953	327	25002	324	25007
954	327	25003	324	25008
955	327	25004	324	25008
956	327	25003	324	25008
957	327	25004	324	25008
958	327	25003	323	25007
959	326	25003	324	25007
960	326	25005	323	25010
961	327	25005	324	25010
962	327	25005	324	25010
963	327	25005	323	25010
964	327	25005	324	25010
965	326	25006	323	25010
966	327	25005	324	25010
967	326	25006	324	25009
968	326	25005	324	25009
969	327	25005	323	25010
970	327	25005	324	25009
971	326	25005	324	25010
972	327	25005	324	25010
973	326	25004	324	25009
974	326	25004	323	25010
975	326	25005	324	25009
976	326	25005	323	25010
977	326	25004	324	25010
978	327	25005	324	25010
979	327	25005	323	25010
980	326	25005	324	25009
981	326	25005	323	25009
982	326	25004	324	25009
983	327	25005	323	25010
984	326	25005	324	25010
985	327	25005	324	25010
986	327	25005	324	25010
987	327	25005	323	25010
988	326	25004	324	25009
989	326	25005	324	25010
990	326	25005	323	25010
991	326	25005	324	25010
992	327	25005	324	25010
993	327	25005	324	25010
994	327	25005	324	25009
995	326	25004	323	25010
996	326	25005	323	25009
997	326	25005	323	25009
998	326	25004	324	25010
999	327	25005	324	25009
1000	327	25004	324	25010
1001	327	25005	324	25010
1002	326	25004	323	25009
1003	326	25005	323	25010
1004	327	25004	324	25009
1005	326	25005	324	25009
1006	327	25004	323	25011
1007	327	25006	324	25011
1008	326	25006	324	25010
1009	327	25005	324	25010
1010	326	25006	323	25010
1011	326	25005	324	25010
1012	327	25005	323	25010
1013	327	25006	324	25011
1014	326	25006	324	25010
1015	327	25006	324	25010
1016	326	25005	323	25010
1017	327	25004	324	25009
1018	326	25005	323	25009
1019	326	25005	323	25010
1020	326	25005	324	25010
1021	326	25005	324	25010
1022	327	25005	324	25009
1023	327	25005	324	25010
1024	424	24906	422	24911
1025	425	24906	421	24911
1026	424	24905	421	24910
1027	424	24905	421	24910
1028	424	24906	422	24911
1029	424	24906	423	24911
1030	425	24906	422	24911
1031	425	24905	422	24911
1032	425	24906	422	24911
1033	425	24905	421	24910
1034	424	24906	422	24910
1035	424	24906	422	24912
1036	425	24907	422	24911
1037	425	24906	422	24911
1038	425	24906	421	24911
1039	425	24905	421	24910
1040	424	24905	422	24910
1041	425	24905	422	24910
