x	ch0	ch1	ch2	ch3
986	326	25007	324	25012
987	326	25007	323	25010
988	326	25006	323	25012
989	326	25006	323	25011
990	326	25006	323	25011
991	326	25006	324	25014
992	326	25009	323	25014
993	326	25009	323	25014
994	326	25008	323	25014
995	326	25008	323	25013
996	326	25008	323	25013
997	326	25008	323	25013
998	326	25009	323	25014
999	327	25009	324	25013
1000	326	25009	323	25013
1001	326	25009	323	25013
1002	326	25008	323	25013
1003	326	25009	323	25013
1004	326	25008	323	25013
1005	326	25008	323	25013
1006	327	25009	324	25013
1007	326	25008	324	25013
1008	326	25008	323	25012
1009	326	25009	323	25013
1010	326	25009	323	25013
1011	326	25008	323	25013
1012	326	25008	323	25013
1013	326	25009	324	25013
1014	327	25008	324	25013
1015	326	25008	323	25014
1016	326	25009	323	25013
1017	326	25008	323	25013
1018	326	25008	323	25013
1019	326	25008	323	25012
1020	326	25008	324	25014
1021	326	25009	324	25014
1022	327	25008	324	25013
1023	326	25008	323	25014
1024	424	24909	421	24914
1025	424	24908	421	24914
1026	424	24908	422	24914
1027	424	24909	421	24914
1028	425	24909	422	24914
1029	424	24909	422	24913
1030	424	24909	422	24912
1031	425	24908	421	24913
1032	424	24908	422	24914
1033	424	24909	421	24914
1034	424	24908	422	24914
1035	424	24909	422	24913
1036	425	24908	422	24914
1037	424	24908	422	24913
1038	424	24910	422	24914
1039	424	24910	422	24914
1040	424	24909	421	24914
1041	424	24909	421	24914
1042	424	24909	422	24914
1043	424	24909	422	24914
1044	424	24910	421	24915
1045	424	24909	422	24914
1046	424	24909	421	24914
1047	424	24909	421	24914
1048	424	24909	421	24913
1049	424	24908	421	24914
1050	425	24909	422	24914
1051	424	24909	421	24914
1052	425	24909	421	24914
1053	425	24909	421	24913
1054	424	24909	421	24913
1055	424	24908	421	24914
1056	424	24908	421	24914
1057	425	24909	421	24914
1058	424	24909	421	24914
1059	424	24909	422	24913
1060	424	24908	421	24914
1061	424	24908	421	24913
1062	424	24909	421	24914
1063	424	24908	422	24914
1064	424	24909	422	24914
1065	424	24910	421	24914
1066	424	24909	422	24914
1067	424	24910	422	24915
1068	424	24910	421	24914
1069	424	24909	421	24913
1070	424	24909	421	24914
1071	424	24909	421	24914
1072	425	24909	422	24913
1073	425	24910	421	24914
1074	425	24909	421	24914
1075	424	24909	421	24914
1076	424	24908	421	24914
1077	424	24908	422	24913
1078	424	24909	421	24913
1079	425	24909	422	24914
1080	424	24910	422	24913
1081	424	24909	422	24914
1082	425	24909	422	24913
1083	424	24909	421	24913
1084	424	24909	421	24914
1085	424	24910	422	24914
1086	424	24909	421	24914
1087	424	24909	421	24914
1088	424	24909	421	24915
1089	425	24910	422	24914
1090	425	24909	421	24914
1091	424	24909	422	24914
1092	424	24909	421	24914
1093	424	24908	421	24914
1094	424	24910	422	24914
1095	425	24909	422	24914
1096	425	24909	421	24914
1097	424	24909	421	24913
1098	424	24909	421	24914
1099	424	24908	422	24913
1100	424	24908	421	24914
1101	425	24908	421	24914
1102	424	24910	422	24914
1103	425	24910	421	24914
1104	424	24909	422	24913
1105	424	24909	421	24914
1106	424	24908	421	24914
1107	424	24909	422	24913
1108	424	24910	421	24914
1109	425	24910	422	24914
1110	424	24909	422	24914
1111	425	24910	421	24914
1112	424	24909	421	24913
1113	424	24909	421	24914
1114	424	24909	422	24914
1115	424	24910	422	24914
1116	425	24910	421	24914
1117	424	24909	422	24914
1118	424	24909	421	24914
1119	424	24909	421	24914
1120	424	24909	421	24913
1121	424	24909	421	24914
1122	424	24908	421	24914
1123	424	24909	421	24914
1124	425	24909	422	24914
1125	424	24909	422	24914
1126	425	24910	421	24914
1127	425	24909	421	24914
1128	424	24909	422	24913
1129	424	24909	421	24913
1130	424	24909	422	24914
1131	425	24910	422	24914
1132	425	24910	421	24915
1133	424	24910	422	24914
1134	424	24910	421	24914
1135	424	24909	421	24914
1136	424	24909	422	24914
1137	424	24910	421	24915
1138	424	24910	422	24915
1139	424	24910	422	24914
1140	424	24910	422	24915
1141	424	24909	421	24914
1142	424	24910	421	24914
1143	424	24909	421	24914
1144	424	24910	422	24914
1145	424	24909	422	24914
1146	425	24909	422	24914
